K,G,S,CV,NPfix
10.0,0.35,0.0,0.0,1.526036
10.0,0.35,0.0,0.01,1.526616
10.0,0.35,0.0,0.1,1.541424
10.0,0.35,0.0,0.5,1.859244
10.0,0.35,0.0,1.0,1.89004
10.0,0.35,0.01,0.0,1.507356
10.0,0.35,0.01,0.01,1.507264
10.0,0.35,0.01,0.1,1.520488
10.0,0.35,0.01,0.5,1.856296
10.0,0.35,0.01,1.0,1.888156
10.0,0.35,0.1,0.0,1.29954
10.0,0.35,0.1,0.01,1.300972
10.0,0.35,0.1,0.1,1.324716
10.0,0.35,0.1,0.5,1.830976
10.0,0.35,0.1,1.0,1.880428
10.0,0.35,0.5,0.0,0.683388
10.0,0.35,0.5,0.01,0.68208
10.0,0.35,0.5,0.1,0.69018
10.0,0.35,0.5,0.5,1.500172
10.0,0.35,0.5,1.0,1.805776
10.0,0.35,1.0,0.0,0.565536
10.0,0.35,1.0,0.01,0.564284
10.0,0.35,1.0,0.1,0.565308
10.0,0.35,1.0,0.5,0.738012
10.0,0.35,1.0,1.0,1.522452
10.0,0.45,0.0,0.0,1.404548
10.0,0.45,0.0,0.01,1.404496
10.0,0.45,0.0,0.1,1.418568
10.0,0.45,0.0,0.5,1.737196
10.0,0.45,0.0,1.0,1.779236
10.0,0.45,0.01,0.0,1.388636
10.0,0.45,0.01,0.01,1.388568
10.0,0.45,0.01,0.1,1.403688
10.0,0.45,0.01,0.5,1.734896
10.0,0.45,0.01,1.0,1.777728
10.0,0.45,0.1,0.0,1.22166
10.0,0.45,0.1,0.01,1.2223
10.0,0.45,0.1,0.1,1.241208
10.0,0.45,0.1,0.5,1.705384
10.0,0.45,0.1,1.0,1.766472
10.0,0.45,0.5,0.0,0.768076
10.0,0.45,0.5,0.01,0.769296
10.0,0.45,0.5,0.1,0.7774
10.0,0.45,0.5,0.5,1.39166
10.0,0.45,0.5,1.0,1.682276
10.0,0.45,1.0,0.0,0.679972
10.0,0.45,1.0,0.01,0.680728
10.0,0.45,1.0,0.1,0.680912
10.0,0.45,1.0,0.5,0.809708
10.0,0.45,1.0,1.0,1.419888
10.0,0.55,0.0,0.0,1.3016
10.0,0.55,0.0,0.01,1.301624
10.0,0.55,0.0,0.1,1.311044
10.0,0.55,0.0,0.5,1.590528
10.0,0.55,0.0,1.0,1.634576
10.0,0.55,0.01,0.0,1.288368
10.0,0.55,0.01,0.01,1.288456
10.0,0.55,0.01,0.1,1.29856
10.0,0.55,0.01,0.5,1.587608
10.0,0.55,0.01,1.0,1.631236
10.0,0.55,0.1,0.0,1.161576
10.0,0.55,0.1,0.01,1.162488
10.0,0.55,0.1,0.1,1.177212
10.0,0.55,0.1,0.5,1.56258
10.0,0.55,0.1,1.0,1.6226
10.0,0.55,0.5,0.0,0.838208
10.0,0.55,0.5,0.01,0.83494
10.0,0.55,0.5,0.1,0.842456
10.0,0.55,0.5,0.5,1.297004
10.0,0.55,0.5,1.0,1.547884
10.0,0.55,1.0,0.0,0.769372
10.0,0.55,1.0,0.01,0.769512
10.0,0.55,1.0,0.1,0.770148
10.0,0.55,1.0,0.5,0.864844
10.0,0.55,1.0,1.0,1.325968
10.0,0.65,0.0,0.0,1.212888
10.0,0.65,0.0,0.01,1.212468
10.0,0.65,0.0,0.1,1.21972
10.0,0.65,0.0,0.5,1.425252
10.0,0.65,0.0,1.0,1.45996
10.0,0.65,0.01,0.0,1.203484
10.0,0.65,0.01,0.01,1.203216
10.0,0.65,0.01,0.1,1.211864
10.0,0.65,0.01,0.5,1.42164
10.0,0.65,0.01,1.0,1.459192
10.0,0.65,0.1,0.0,1.111616
10.0,0.65,0.1,0.01,1.11536
10.0,0.65,0.1,0.1,1.123216
10.0,0.65,0.1,0.5,1.405444
10.0,0.65,0.1,1.0,1.450832
10.0,0.65,0.5,0.0,0.887768
10.0,0.65,0.5,0.01,0.887204
10.0,0.65,0.5,0.1,0.890604
10.0,0.65,0.5,0.5,1.212088
10.0,0.65,0.5,1.0,1.398112
10.0,0.65,1.0,0.0,0.840716
10.0,0.65,1.0,0.01,0.839496
10.0,0.65,1.0,0.1,0.839692
10.0,0.65,1.0,0.5,0.908764
10.0,0.65,1.0,1.0,1.240504
10.0,0.85,0.0,0.0,1.062284
10.0,0.85,0.0,0.01,1.06224
10.0,0.85,0.0,0.1,1.062788
10.0,0.85,0.0,0.5,1.058036
10.0,0.85,0.0,1.0,1.043576
10.0,0.85,0.01,0.0,1.062148
10.0,0.85,0.01,0.01,1.062256
10.0,0.85,0.01,0.1,1.062572
10.0,0.85,0.01,0.5,1.060772
10.0,0.85,0.01,1.0,1.041788
10.0,0.85,0.1,0.0,1.033476
10.0,0.85,0.1,0.01,1.035124
10.0,0.85,0.1,0.1,1.03824
10.0,0.85,0.1,0.5,1.067744
10.0,0.85,0.1,1.0,1.04748
10.0,0.85,0.5,0.0,0.960728
10.0,0.85,0.5,0.01,0.958704
10.0,0.85,0.5,0.1,0.96112
10.0,0.85,0.5,0.5,1.05616
10.0,0.85,0.5,1.0,1.067696
10.0,0.85,1.0,0.0,0.94368
10.0,0.85,1.0,0.01,0.943492
10.0,0.85,1.0,0.1,0.94468
10.0,0.85,1.0,0.5,0.967224
10.0,0.85,1.0,1.0,1.055976
100.0,0.35,0.0,0.0,1.58906
100.0,0.35,0.0,0.01,1.591316
100.0,0.35,0.0,0.1,1.719284
100.0,0.35,0.0,0.5,1.998196
100.0,0.35,0.0,1.0,1.999464
100.0,0.35,0.01,0.0,1.4078
100.0,0.35,0.01,0.01,1.411344
100.0,0.35,0.01,0.1,1.619112
100.0,0.35,0.01,0.5,1.9983
100.0,0.35,0.01,1.0,1.999328
100.0,0.35,0.1,0.0,0.650288
100.0,0.35,0.1,0.01,0.65216
100.0,0.35,0.1,0.1,0.754356
100.0,0.35,0.1,0.5,1.996876
100.0,0.35,0.1,1.0,1.999188
100.0,0.35,0.5,0.0,0.547484
100.0,0.35,0.5,0.01,0.54654
100.0,0.35,0.5,0.1,0.548872
100.0,0.35,0.5,0.5,1.888772
100.0,0.35,0.5,1.0,1.997996
100.0,0.35,1.0,0.0,0.521976
100.0,0.35,1.0,0.01,0.523504
100.0,0.35,1.0,0.1,0.522608
100.0,0.35,1.0,0.5,0.7049
100.0,0.35,1.0,1.0,1.982676
100.0,0.45,0.0,0.0,1.468048
100.0,0.45,0.0,0.01,1.469644
100.0,0.45,0.0,0.1,1.593348
100.0,0.45,0.0,0.5,1.985984
100.0,0.45,0.0,1.0,1.993292
100.0,0.45,0.01,0.0,1.316756
100.0,0.45,0.01,0.01,1.32004
100.0,0.45,0.01,0.1,1.506132
100.0,0.45,0.01,0.5,1.985704
100.0,0.45,0.01,1.0,1.993376
100.0,0.45,0.1,0.0,0.759376
100.0,0.45,0.1,0.01,0.757276
100.0,0.45,0.1,0.1,0.839968
100.0,0.45,0.1,0.5,1.98018
100.0,0.45,0.1,1.0,1.992336
100.0,0.45,0.5,0.0,0.678368
100.0,0.45,0.5,0.01,0.67448
100.0,0.45,0.5,0.1,0.677356
100.0,0.45,0.5,0.5,1.82304
100.0,0.45,0.5,1.0,1.988576
100.0,0.45,1.0,0.0,0.657524
100.0,0.45,1.0,0.01,0.653904
100.0,0.45,1.0,0.1,0.655084
100.0,0.45,1.0,0.5,0.802388
100.0,0.45,1.0,1.0,1.963976
100.0,0.55,0.0,0.0,1.357356
100.0,0.55,0.0,0.01,1.36024
100.0,0.55,0.0,0.1,1.472392
100.0,0.55,0.0,0.5,1.940316
100.0,0.55,0.0,1.0,1.96528
100.0,0.55,0.01,0.0,1.241848
100.0,0.55,0.01,0.01,1.2448
100.0,0.55,0.01,0.1,1.40032
100.0,0.55,0.01,0.5,1.938948
100.0,0.55,0.01,1.0,1.964832
100.0,0.55,0.1,0.0,0.837476
100.0,0.55,0.1,0.01,0.836732
100.0,0.55,0.1,0.1,0.901168
100.0,0.55,0.1,0.5,1.927968
100.0,0.55,0.1,1.0,1.961772
100.0,0.55,0.5,0.0,0.771832
100.0,0.55,0.5,0.01,0.771592
100.0,0.55,0.5,0.1,0.772008
100.0,0.55,0.5,0.5,1.740708
100.0,0.55,0.5,1.0,1.954788
100.0,0.55,1.0,0.0,0.75592
100.0,0.55,1.0,0.01,0.756276
100.0,0.55,1.0,0.1,0.75718
100.0,0.55,1.0,0.5,0.873788
100.0,0.55,1.0,1.0,1.929456
100.0,0.65,0.0,0.0,1.260216
100.0,0.65,0.0,0.01,1.265292
100.0,0.65,0.0,0.1,1.357132
100.0,0.65,0.0,0.5,1.835724
100.0,0.65,0.0,1.0,1.881392
100.0,0.65,0.01,0.0,1.177676
100.0,0.65,0.01,0.01,1.177764
100.0,0.65,0.01,0.1,1.297132
100.0,0.65,0.01,0.5,1.830964
100.0,0.65,0.01,1.0,1.881348
100.0,0.65,0.1,0.0,0.890116
100.0,0.65,0.1,0.01,0.894884
100.0,0.65,0.1,0.1,0.9407
100.0,0.65,0.1,0.5,1.814988
100.0,0.65,0.1,1.0,1.877872
100.0,0.65,0.5,0.0,0.846332
100.0,0.65,0.5,0.01,0.84528
100.0,0.65,0.5,0.1,0.845536
100.0,0.65,0.5,0.5,1.62914
100.0,0.65,0.5,1.0,1.872912
100.0,0.65,1.0,0.0,0.830736
100.0,0.65,1.0,0.01,0.835516
100.0,0.65,1.0,0.1,0.835224
100.0,0.65,1.0,0.5,0.92136
100.0,0.65,1.0,1.0,1.867748
100.0,0.85,0.0,0.0,1.100884
100.0,0.85,0.0,0.01,1.101656
100.0,0.85,0.0,0.1,1.139152
100.0,0.85,0.0,0.5,1.362664
100.0,0.85,0.0,1.0,1.40904
100.0,0.85,0.01,0.0,1.0702
100.0,0.85,0.01,0.01,1.070788
100.0,0.85,0.01,0.1,1.117308
100.0,0.85,0.01,0.5,1.362132
100.0,0.85,0.01,1.0,1.409992
100.0,0.85,0.1,0.0,0.96644
100.0,0.85,0.1,0.01,0.966076
100.0,0.85,0.1,0.1,0.984656
100.0,0.85,0.1,0.5,1.35768
100.0,0.85,0.1,1.0,1.412588
100.0,0.85,0.5,0.0,0.949408
100.0,0.85,0.5,0.01,0.947728
100.0,0.85,0.5,0.1,0.945268
100.0,0.85,0.5,0.5,1.317012
100.0,0.85,0.5,1.0,1.449532
100.0,0.85,1.0,0.0,0.940416
100.0,0.85,1.0,0.01,0.941412
100.0,0.85,1.0,0.1,0.942892
100.0,0.85,1.0,0.5,0.98084
100.0,0.85,1.0,1.0,1.544696
1000.0,0.35,0.0,0.0,1.60648
1000.0,0.35,0.0,0.01,1.622928
1000.0,0.35,0.0,0.1,1.967584
1000.0,0.35,0.0,0.5,2.0
1000.0,0.35,0.0,1.0,2.0
1000.0,0.35,0.01,0.0,0.814564
1000.0,0.35,0.01,0.01,0.833208
1000.0,0.35,0.01,0.1,1.921884
1000.0,0.35,0.01,0.5,1.999992
1000.0,0.35,0.01,1.0,2.0
1000.0,0.35,0.1,0.0,0.574052
1000.0,0.35,0.1,0.01,0.568588
1000.0,0.35,0.1,0.1,0.866208
1000.0,0.35,0.1,0.5,1.999996
1000.0,0.35,0.1,1.0,2.0
1000.0,0.35,0.5,0.0,0.544672
1000.0,0.35,0.5,0.01,0.54498
1000.0,0.35,0.5,0.1,0.545656
1000.0,0.35,0.5,0.5,2.0
1000.0,0.35,0.5,1.0,2.0
1000.0,0.35,1.0,0.0,0.521488
1000.0,0.35,1.0,0.01,0.520404
1000.0,0.35,1.0,0.1,0.52058
1000.0,0.35,1.0,0.5,1.62972
1000.0,0.35,1.0,1.0,2.0
1000.0,0.45,0.0,0.0,1.48358
1000.0,0.45,0.0,0.01,1.498676
1000.0,0.45,0.0,0.1,1.910688
1000.0,0.45,0.0,0.5,1.999768
1000.0,0.45,0.0,1.0,1.999932
1000.0,0.45,0.01,0.0,0.886044
1000.0,0.45,0.01,0.01,0.902972
1000.0,0.45,0.01,0.1,1.855968
1000.0,0.45,0.01,0.5,1.999744
1000.0,0.45,0.01,1.0,1.999932
1000.0,0.45,0.1,0.0,0.694664
1000.0,0.45,0.1,0.01,0.694956
1000.0,0.45,0.1,0.1,0.930536
1000.0,0.45,0.1,0.5,1.999628
1000.0,0.45,0.1,1.0,1.999956
1000.0,0.45,0.5,0.0,0.675468
1000.0,0.45,0.5,0.01,0.67584
1000.0,0.45,0.5,0.1,0.675396
1000.0,0.45,0.5,0.5,1.999992
1000.0,0.45,0.5,1.0,1.999952
1000.0,0.45,1.0,0.0,0.654468
1000.0,0.45,1.0,0.01,0.65488
1000.0,0.45,1.0,0.1,0.65678
1000.0,0.45,1.0,0.5,1.566824
1000.0,0.45,1.0,1.0,2.0
1000.0,0.55,0.0,0.0,1.374484
1000.0,0.55,0.0,0.01,1.391852
1000.0,0.55,0.0,0.1,1.812712
1000.0,0.55,0.0,0.5,1.996664
1000.0,0.55,0.0,1.0,1.998692
1000.0,0.55,0.01,0.0,0.93652
1000.0,0.55,0.01,0.01,0.948816
1000.0,0.55,0.01,0.1,1.754956
1000.0,0.55,0.01,0.5,1.996368
1000.0,0.55,0.01,1.0,1.998788
1000.0,0.55,0.1,0.0,0.786884
1000.0,0.55,0.1,0.01,0.78996
1000.0,0.55,0.1,0.1,0.966084
1000.0,0.55,0.1,0.5,1.995228
1000.0,0.55,0.1,1.0,1.998912
1000.0,0.55,0.5,0.0,0.773404
1000.0,0.55,0.5,0.01,0.771604
1000.0,0.55,0.5,0.1,0.770696
1000.0,0.55,0.5,0.5,1.99994
1000.0,0.55,0.5,1.0,1.999112
1000.0,0.55,1.0,0.0,0.755836
1000.0,0.55,1.0,0.01,0.758588
1000.0,0.55,1.0,0.1,0.75934
1000.0,0.55,1.0,0.5,1.49632
1000.0,0.55,1.0,1.0,2.0
1000.0,0.65,0.0,0.0,1.281268
1000.0,0.65,0.0,0.01,1.29276
1000.0,0.65,0.0,0.1,1.669956
1000.0,0.65,0.0,0.5,1.973208
1000.0,0.65,0.0,1.0,1.986864
1000.0,0.65,0.01,0.0,0.964172
1000.0,0.65,0.01,0.01,0.973792
1000.0,0.65,0.01,0.1,1.619792
1000.0,0.65,0.01,0.5,1.97318
1000.0,0.65,0.01,1.0,1.987152
1000.0,0.65,0.1,0.0,0.85824
1000.0,0.65,0.1,0.01,0.860828
1000.0,0.65,0.1,0.1,0.991504
1000.0,0.65,0.1,0.5,1.967924
1000.0,0.65,0.1,1.0,1.985792
1000.0,0.65,0.5,0.0,0.843748
1000.0,0.65,0.5,0.01,0.847244
1000.0,0.65,0.5,0.1,0.845692
1000.0,0.65,0.5,0.5,1.99904
1000.0,0.65,0.5,1.0,1.99066
1000.0,0.65,1.0,0.0,0.833636
1000.0,0.65,1.0,0.01,0.83304
1000.0,0.65,1.0,0.1,0.8343
1000.0,0.65,1.0,0.5,1.415088
1000.0,0.65,1.0,1.0,1.999984
1000.0,0.85,0.0,0.0,1.110736
1000.0,0.85,0.0,0.01,1.11686
1000.0,0.85,0.0,0.1,1.298752
1000.0,0.85,0.0,0.5,1.618812
1000.0,0.85,0.0,1.0,1.687076
1000.0,0.85,0.01,0.0,0.996096
1000.0,0.85,0.01,0.01,1.001384
1000.0,0.85,0.01,0.1,1.272784
1000.0,0.85,0.01,0.5,1.615704
1000.0,0.85,0.01,1.0,1.686112
1000.0,0.85,0.1,0.0,0.953948
1000.0,0.85,0.1,0.01,0.953048
1000.0,0.85,0.1,0.1,1.00696
1000.0,0.85,0.1,0.5,1.609008
1000.0,0.85,0.1,1.0,1.688832
1000.0,0.85,0.5,0.0,0.946768
1000.0,0.85,0.5,0.01,0.947456
1000.0,0.85,0.5,0.1,0.949028
1000.0,0.85,0.5,0.5,1.914088
1000.0,0.85,0.5,1.0,1.747116
1000.0,0.85,1.0,0.0,0.942472
1000.0,0.85,1.0,0.01,0.942812
1000.0,0.85,1.0,0.1,0.9423
1000.0,0.85,1.0,0.5,1.211864
1000.0,0.85,1.0,1.0,1.987076
10.0,0.3,0.0,0.0,1.593892
10.0,0.3,0.0,0.01,1.594888
10.0,0.3,0.0,0.1,1.608624
10.0,0.3,0.0,0.5,1.90586
10.0,0.3,0.0,1.0,1.930232
10.0,0.3,0.01,0.0,1.5721
10.0,0.3,0.01,0.01,1.57334
10.0,0.3,0.01,0.1,1.589764
10.0,0.3,0.01,0.5,1.902944
10.0,0.3,0.01,1.0,1.929688
10.0,0.3,0.1,0.0,1.352576
10.0,0.3,0.1,0.01,1.350184
10.0,0.3,0.1,0.1,1.376628
10.0,0.3,0.1,0.5,1.882864
10.0,0.3,0.1,1.0,1.920944
10.0,0.3,0.5,0.0,0.625744
10.0,0.3,0.5,0.01,0.62788
10.0,0.3,0.5,0.1,0.635604
10.0,0.3,0.5,0.5,1.564576
10.0,0.3,0.5,1.0,1.857584
10.0,0.3,1.0,0.0,0.492996
10.0,0.3,1.0,0.01,0.494116
10.0,0.3,1.0,0.1,0.495372
10.0,0.3,1.0,0.5,0.694748
10.0,0.3,1.0,1.0,1.583952
10.0,0.4,0.0,0.0,1.463428
10.0,0.4,0.0,0.01,1.464264
10.0,0.4,0.0,0.1,1.476412
10.0,0.4,0.0,0.5,1.800568
10.0,0.4,0.0,1.0,1.839056
10.0,0.4,0.01,0.0,1.447484
10.0,0.4,0.01,0.01,1.447552
10.0,0.4,0.01,0.1,1.461008
10.0,0.4,0.01,0.5,1.798728
10.0,0.4,0.01,1.0,1.836884
10.0,0.4,0.1,0.0,1.257748
10.0,0.4,0.1,0.01,1.26004
10.0,0.4,0.1,0.1,1.280284
10.0,0.4,0.1,0.5,1.772336
10.0,0.4,0.1,1.0,1.828036
10.0,0.4,0.5,0.0,0.728008
10.0,0.4,0.5,0.01,0.727828
10.0,0.4,0.5,0.1,0.735452
10.0,0.4,0.5,0.5,1.44518
